procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0  33336  52460 291120    0    0     0     0 2583  763  1 25 73  0  0
 2  0      0  33400  52460 291120    0    0     0     0 2662  695  1 28 71  0  0
 0  0      0  33320  52460 291120    0    0     0     0 2264  639  0 22 78  0  0
 0  0      0  33144  52460 291120    0    0     0     0 1594  515  1 14 84  0  0
 0  0      0  33304  52460 291120    0    0     0    16 1577  536  0 13 87  0  0
 0  0      0  33336  52460 291120    0    0     0     0 1310  452  0  6 94  0  0
 1  0      0  33336  52460 291120    0    0     0     0 1404  564  1  9 90  0  0
 3  0      0  33352  52460 291120    0    0     0     0 1701  553  1 12 87  0  0
 0  0      0  33368  52460 291120    0    0     0     0 1873  578  1  9 90  0  0
 0  0      0  33496  52464 291120    0    0     0    16 1698  627  3  9 86  1  0
 0  0      0  33496  52464 291120    0    0     0     0 1137  568  1  5 93  0  0
 0  0      0  33480  52464 291120    0    0     0     0 1044  554  0  7 93  0  0
 0  0      0  33464  52464 291120    0    0     0     0 1103  554  1  3 96  0  0
 0  0      0  33288  52464 291120    0    0     0     8 1127  520  1  6 93  0  0
 0  0      0  33304  52468 291120    0    0     0    24 1048  514  0  7 93  0  0
 0  0      0  33192  52468 291120    0    0     0     0 1098  501  0  7 93  0  0
 0  0      0  33160  52468 291120    0    0     0     0  899  450  0  4 96  0  0
 0  0      0  33176  52468 291120    0    0     0     0  899  462  0  2 98  0  0
 1  0      0  33224  52468 291120    0    0     0     0  907  535  0  7 93  0  0
 1  0      0  33192  52476 291120    0    0     0    16  914  475  3  4 92  1  0
 0  0      0  33288  52476 291120    0    0     0     0 1025  489  2  3 94  0  0
 0  0      0  33304  52476 291120    0    0     0     0 1093  442  2  7 90  0  0
 0  0      0  33368  52476 291120    0    0     0     0  959  472  1  6 92  0  0
 0  0      0  33400  52480 291120    0    0     0     8  917  513  0  8 92  0  0
 0  0      0  33432  52480 291120    0    0     0    32  845  523  0  2 98  0  0
 0  0      0  33448  52480 291120    0    0     0     0  868  440  1  4 95  0  0
 0  0      0  33496  52480 291120    0    0     0     0  812  521  0  3 97  0  0
 1  0      0  33464  52480 291120    0    0     0     0 1089  538  1  4 95  0  0
 1  0      0  33432  52480 291120    0    0     0     0 1040  463  1  5 93  0  0
 0  0      0  33416  52484 291120    0    0     0    16 1318  541  0  5 94  1  0
 0  0      0  33432  52484 291120    0    0     0     0  992  459  1  3 96  0  0
 0  0      0  33272  52484 291120    0    0     0     0 1045  454  0  7 93  0  0
 0  0      0  33352  52484 291120    0    0     0     0 1229  476  0  7 93  0  0
 0  0      0  33352  52484 291120    0    0     0    16  819  480  2  3 95  0  0
 0  0      0  33384  52484 291120    0    0     0    16  742  449  1  5 94  0  0
 0  0      0  33336  52484 291120    0    0     0     0  855  429  0  4 96  0  0
 1  0      0  33320  52484 291120    0    0     0     0  924  454  0  7 93  0  0
 0  0      0  33304  52484 291120    0    0     0     0  949  489  0  3 97  0  0
 0  0      0  33304  52484 291120    0    0     0     0  930  469  0  3 97  0  0
 0  0      0  33160  52492 291124    0    0     0    12 1138  490  2  3 94  0  0
 1  0      0  33112  52492 291124    0    0     0     0 1555  570  1 15 84  0  0
 0  0      0  33160  52492 291124    0    0     0     0 1498  603  0 12 88  0  0
 0  0      0  33128  52492 291124    0    0     0     0  963  517  0  5 95  0  0
 0  0      0  33096  52492 291124    0    0     0     0 1011  524  1  5 94  0  0
 1  0      0  33112  52496 291124    0    0     0    16  995  489  0  7 92  1  0
 0  0      0  33128  52496 291124    0    0     0     0  959  559  0  8 92  0  0
 0  0      0  33160  52496 291124    0    0     0     0 1058  459  1  2 97  0  0
 0  0      0  33192  52496 291124    0    0     0     0 1018  485  2  8 90  0  0
 0  0      0  33208  52496 291124    0    0     0     4  997  480  1  6 92  0  0
 0  0      0  33240  52496 291124    0    0     0    16 1082  496  0  8 89  2  0
 0  0      0  33208  52496 291124    0    0     0     0 1894  597  0 21 79  0  0
 0  0      0  33192  52496 291124    0    0     0     0 1552  562  0 13 88  0  0
 0  0      0  33000  52496 291124    0    0     0     0 1204  501  0  8 92  0  0
 1  0      0  33000  52496 291124    0    0     0     0  962  476  0  4 96  0  0
 1  0      0  33080  52500 291124    0    0     0    16 1138  479  0 10 89  1  0
 1  0      0  33080  52500 291124    0    0     0     0  795  435  0  6 94  0  0
 1  0      0  33064  52500 291124    0    0     0     0  945  502  0  1 99  0  0
 3  0      0  33096  52500 291124    0    0     0     0  927  452  1  4 95  0  0
 0  0      0  32840  52500 291124    0    0     0     8 1038  472  1  7 92  0  0
 2  0      0  32856  52500 291124    0    0     0    24  906  477  0  2 98  0  0
 0  0      0  32904  52500 291124    0    0     0     0  717  428  0  4 96  0  0
 0  0      0  32920  52500 291124    0    0     0     0  813  455  2  5 93  0  0
 0  0      0  32968  52500 291124    0    0     0     0  907  468  0  5 95  0  0
 0  0      0  32968  52500 291124    0    0     0     0 1005  473  0  8 92  0  0
 0  0      0  33032  52500 291124    0    0     0    16  964  474  0  8 91  1  0
 1  0      0  33160  52500 291124    0    0     0     0 1119  479  2  4 93  0  0
 0  0      0  33288  52500 291124    0    0     0     0 1420  523  1 11 88  0  0
 0  0      0  33304  52500 291124    0    0     0     0 1150  493  1  7 92  0  0
 0  0      0  33320  52500 291124    0    0     0    12 1184  497  0  9 91  0  0
 0  0      0  33336  52500 291124    0    0     0    16 1364  575  0 14 86  0  0
 0  0      0  33384  52500 291124    0    0     0     0 1269  601  0  7 93  0  0
 0  0      0  33384  52500 291124    0    0     0     0 1216  493  0 11 89  0  0
