procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    512  54160  50892 271168    0    0     0     0 2487  500  6 38 56  0  0
 0  0    512  54432  50896 271168    0    0     0    16  435  427  2  5 93  0  0
 0  0    512  54828  50896 271168    0    0     0     0  439  410  2  5 93  0  0
 0  0    512  55224  50896 271168    0    0     0     0  430  410  2  5 93  0  0
 0  0    512  55496  50896 271168    0    0     0     0  439  406  2  4 94  0  0
 0  0    512  55892  50896 271168    0    0     0     0  421  400  2  6 92  0  0
 0  0    512  56288  50896 271168    0    0     0    16  437  422  2  4 93  1  0
 0  0    512  56560  50896 271168    0    0     0     0  427  407  2  3 95  0  0
 0  0    512  56956  50896 271168    0    0     0     0  427  400  4  2 94  0  0
 0  0    512  57352  50896 271168    0    0     0     0  441  408  2  6 92  0  0
 0  0    512  57624  50896 271168    0    0     0     0  436  415  3  4 93  0  0
 0  0    512  58020  50896 271168    0    0     0    16  426  412  3  3 94  0  0
 0  0    512  58416  50896 271168    0    0     0    52  454  455  2  4 92  2  0
 1  0    512  58688  50896 271168    0    0     0     0  418  400  2  4 94  0  0
 0  0    512  59084  50896 271168    0    0     0     0  428  409  2  4 94  0  0
 0  0    512  59480  50896 271168    0    0     0     0  438  415  1  5 94  0  0
 0  0    512  59752  50896 271168    0    0     0    28  440  414  2  3 95  0  0
 0  0    512  60148  50896 271168    0    0     0     0  437  410  3  4 93  0  0
 0  0    512  60544  50896 271168    0    0     0     0  416  402  1  4 95  0  0
 0  0    512  60816  50896 271168    0    0     0     0  432  413  2  5 93  0  0
 0  0    512  61212  50896 271168    0    0     0     0  415  401  1  5 94  0  0
 0  0    512  61608  50896 271168    0    0     0    16  448  433  0  8 91  1  0
 2  0    512  62004  50896 271168    0    0     0     0  425  400  1  5 94  0  0
 0  0    512  61576  50896 271168    0    0     0     0  457  424 19  8 73  0  0
 0  0    512  61880  50896 271168    0    0     0     0  440  428 15  5 80  0  0
 0  0    512  62028  50896 271168    0    0     0    20  463  434 30  1 69  0  0
 0  0    512  62036  50896 271168    0    0     0     0  419  400  0  1 99  0  0
 0  0    512  62036  50896 271168    0    0     0    12  471  465  1  2 97  0  0
 0  0    512  62036  50896 271168    0    0     0     0  439  404 22  2 76  0  0
